+--------------------+------------------------+--------------------+---------------------+--------------------+---------------------+---------------------+---------------------+
|   Currency Name    |     Currency Price     | Currency 1h Change | Currency 24h Change | Currency 7d Change | Currency 30d Change | Currency 60d Change | Currency 90d Change |
|        Neo         |   11.17129215892112    |     0.2559766      |      1.05996239     |    -11.24098977    |     63.96057631     |      48.5627799     |     58.49122664     |
|        Kava        |   0.7840963656035446   |     0.13236274     |      1.78797288     |    -4.37732544     |     33.54065573     |     24.92742455     |     11.06578843     |
|    Bitget Token    |   0.5266824488791163   |    -0.03166246     |     -1.05415939     |     8.6980239      |     25.21241395     |     14.59703754     |      23.8321009     |
|    XDC Network     |  0.053032164298845046  |     0.01999201     |     -0.39932992     |    -4.52149952     |     14.55480727     |     -1.54354545     |     -5.25182449     |
|        USDD        |   0.9969905701815486   |     0.04578994     |      0.00387783     |     0.00581462     |      -0.2974568     |     -0.16880071     |     -0.07691933     |
|    KuCoin Token    |   7.254242766796074    |     1.02078939     |      9.0331412      |    17.18785334     |      59.5094676     |     61.70292952     |     49.20103985     |
| First Digital USD  |   1.0004780176303996   |     0.02480863     |      0.0121334      |     0.09177509     |      0.05037674     |      0.0502006      |      0.05277238     |
|        Gala        |  0.024065551238854063  |     0.0349428      |      1.27630859     |     0.18955914     |     86.15978894     |     72.65803863     |     23.80565045     |
|        Mina        |   0.6145991611603965   |     0.22204254     |      0.63684858     |    -7.67226168     |     59.06276325     |     60.89993451     |     53.37970563     |
|   dYdX (ethDYDX)   |   3.2695226347546096   |     0.1393221      |     -0.46655211     |     0.59766927     |     72.91926995     |     62.55431898     |     70.11837186     |
|      Arweave       |   9.082064560856251    |     0.42717304     |     20.42593228     |    26.56921669     |     132.67646266    |     108.39223319    |      107.604257     |
|       eCash        | 2.9592746754539333e-05 |     0.33641364     |      0.74943183     |    -7.89849174     |     10.04445905     |     17.47882843     |     24.08321323     |
|    PancakeSwap     |   2.482114140566716    |     1.0291041      |      1.33075654     |    13.82177666     |     133.4329834     |     111.01458749    |     94.70438008     |
|       Chiliz       |  0.07630782852345938   |     0.08863654     |      0.4547064      |    -7.86049827     |     31.48158157     |     29.01842124     |     19.72406029     |
|        IOTA        |   0.1846942964789511   |     0.62096151     |      2.41958717     |    -7.20106841     |     28.94675628     |     24.19787561     |      28.0721955     |
|    Rocket Pool     |   27.72622782080239    |     0.64029551     |     -0.08346474     |    -9.61041382     |     41.95695438     |     26.42270146     |      12.1908574     |
|     Frax Share     |   7.232312228070583    |     0.57335047     |      0.88079078     |     5.91917263     |     37.07831021     |     37.84475168     |     18.69709653     |
|       Klaytn       |  0.16670595913389522   |     0.21937823     |     -2.54744449     |     0.5319704      |     38.76669777     |      46.9525318     |      20.2944294     |
|      Conflux       |  0.15571287431779646   |     0.44194505     |      2.88290533     |    -13.03715897    |     47.85375868     |     23.48549689     |     23.73033908     |
|        Gas         |   8.202959444079973    |      0.171189      |     -1.97253575     |    -10.01628833    |     252.18207664    |     215.63556308    |     266.33560376    |
|        Sui         |   0.5510315369758335   |     0.29309095     |     -0.43358768     |    -12.00779804    |      43.9837441     |     23.83342499     |      7.33861998     |
|  Curve DAO Token   |   0.5679073010680276   |     0.64838723     |      0.65062266     |    -10.26773341    |      35.3878249     |     29.03441072     |     19.03183634     |
|      ApeCoin       |   1.3692121570863756   |     1.00608775     |      1.67628597     |    -6.39651815     |     26.56236327     |     22.48011359     |     -10.56632697    |
